URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,79,33,0.41,0.09,259,44.62,121.45,25,572,1282,3,"We, us",7
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,147,71,0.35,0.1,265,40.15,122.06,25,868,2162,3,"We, we, us",7
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,222,106,0.35,0.1,266,41.77,123.11,25,1370,3280,3,"We, we, us",7
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,296,130,0.39,0.1,254,40.68,117.87,24,1739,4275,3,"We, we, us",7
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,355,153,0.4,0.1,252,40.17,116.87,24,2143,5335,3,"We, we, us",7
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,411,176,0.4,0.1,252,39.79,116.72,23,2435,6120,3,"my, We, My, us, I, we",7
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,441,188,0.4,0.09,249,39.28,115.31,23,2614,6654,3,"my, We, My, us, I, we",7
44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,444,188,0.41,0.09,237,39.32,110.53,22,2670,6790,3,"my, We, My, us, I, we",7
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,490,201,0.42,0.09,234,39.17,109.27,22,2860,7302,3,"my, We, My, us, I, we",7
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,570,241,0.41,0.09,243,39.24,112.9,23,3386,8630,3,"my, We, My, us, I, we",7
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,629,301,0.35,0.09,250,39.22,115.69,23,3857,9835,3,"my, We, My, us, I, we",7
48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,677,320,0.36,0.09,241,39.71,112.28,23,4228,10646,3,"my, We, My, us, I, we",7
49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,714,344,0.35,0.09,240,39.47,111.79,23,4539,11501,3,"my, We, My, us, I, we",7
50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,789,368,0.36,0.09,237,39.22,110.49,22,4887,12461,3,"my, We, My, us, I, we",7
51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,859,390,0.38,0.09,232,39.19,108.48,22,5273,13455,3,"my, We, My, us, I, we",7
52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,890,390,0.39,0.09,229,39.38,107.35,21,5471,13892,3,"my, We, My, us, I, we",7
53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,995,429,0.4,0.1,239,39.35,111.34,22,5877,14934,3,"my, We, My, us, I, we",7
54,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,1025,429,0.41,0.09,230,39.54,107.82,21,6123,15486,3,"my, We, My, us, I, we",7
55,https://insights.blackcoffer.com/evolution-of-advertising-industry/,1043,435,0.41,0.09,224,39.7,105.48,21,6362,16024,3,"my, We, My, us, I, we",7
56,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,1048,438,0.41,0.09,219,39.67,103.47,21,6450,16259,3,"my, We, My, us, I, we",7
57,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,1051,438,0.41,0.09,215,39.68,101.87,20,6506,16395,3,"my, We, My, us, I, we",7
58,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,1089,505,0.37,0.09,217,39.64,102.66,20,6853,17290,3,"my, We, My, us, I, we",7
59,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,1113,520,0.36,0.09,217,39.59,102.64,20,7054,17819,3,"my, We, My, us, I, we",7
60,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,1188,558,0.36,0.09,220,39.4,103.76,21,7455,18919,3,"my, We, My, us, I, we",7
61,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,1244,561,0.38,0.09,217,39.48,102.59,20,7666,19419,3,"my, We, My, us, I, we",7
62,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,1254,562,0.38,0.09,216,39.4,102.16,20,7791,19773,3,"my, We, My, us, I, we",7
63,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,1280,570,0.38,0.09,213,39.36,100.94,20,8010,20350,3,"my, We, My, us, I, we",7
64,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,1297,578,0.38,0.09,210,39.4,99.76,20,8183,20767,3,"my, We, My, us, I, we",7
65,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,1319,586,0.38,0.09,209,39.44,99.38,20,8316,21083,3,"my, We, My, us, I, we",7
66,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,1328,586,0.39,0.09,207,39.49,98.6,19,8413,21304,3,"my, We, My, us, I, we",7
67,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,1358,619,0.37,0.09,208,39.35,98.94,20,8595,21842,3,"my, We, My, us, I, we",7
68,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,1372,621,0.38,0.09,206,39.33,98.13,19,8680,22071,3,"my, We, My, us, I, we",7
69,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,1413,632,0.38,0.09,205,39.5,97.8,19,8931,22610,3,"my, We, My, us, I, we",7
70,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,1418,638,0.38,0.09,203,39.49,97.0,19,9010,22815,3,"my, We, My, us, I, we",7
71,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,1430,663,0.37,0.09,202,39.47,96.59,19,9128,23124,3,"my, We, My, us, I, we",7
72,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,1465,711,0.35,0.09,203,39.66,97.06,19,9609,24226,3,"my, We, My, us, I, we",7
